
Draw Date	Number 1	Number 2	Number 3	Number 4	Number 5	Powerball
2022-04-09	62	31	66	6	16	18
2022-04-11	5	34	24	31	7	4
2022-04-13	63	68	41	16	14	26
2022-04-16	62	32	15	65	21	26
2022-04-18	8	33	59	55	62	18
2022-04-20	55	30	56	20	45	14
2022-04-23	49	10	56	39	47	8
2022-04-25	18	61	12	39	20	10
2022-04-27	62	68	61	11	36	4
2022-04-30	21	37	44	63	14	1
2022-05-02	18	39	44	33	27	8
2022-05-04	55	63	69	39	37	23
2022-05-07	5	28	6	67	4	10
2022-05-09	18	56	30	35	52	5
2022-05-11	61	5	7	69	63	18
2022-05-14	6	52	40	45	41	9
2022-05-16	7	22	15	36	64	13
2022-05-18	64	41	40	58	65	17
2022-05-21	15	52	25	58	14	11
2022-05-23	42	37	33	1	39	26
2022-05-25	42	19	28	39	57	17
2022-05-28	66	50	61	39	2	15
2022-05-30	51	69	28	68	27	22
2022-06-01	41	56	63	11	57	2
2022-06-04	60	52	14	16	36	16
2022-06-06	10	2	44	35	46	4
2022-06-08	39	43	62	22	64	7
2022-06-11	26	53	69	20	18	5
2022-06-13	2	44	42	51	27	25
2022-06-15	28	19	42	41	51	7
2022-06-18	40	45	10	19	58	25
2022-06-20	3	44	69	61	63	13
2022-06-22	10	56	6	31	48	12
2022-06-25	12	20	32	27	6	4
2022-06-27	13	30	37	18	11	16
2022-06-29	63	40	8	49	58	14
2022-07-02	59	10	9	37	62	26
2022-07-04	16	15	56	31	24	4
2022-07-06	36	32	69	49	62	13
2022-07-09	42	22	52	46	14	24
2022-07-11	52	37	34	4	26	9
2022-07-13	22	23	47	63	36	2
2022-07-16	23	57	32	18	3	21
2022-07-18	36	14	50	58	34	5
2022-07-20	20	10	65	23	49	22
2022-07-23	59	39	41	54	62	12
2022-07-25	25	37	38	39	65	5
2022-07-27	25	55	1	44	57	26
2022-07-30	17	4	58	68	57	12
2022-08-01	31	65	36	15	21	16
2022-08-03	9	66	21	57	56	11
2022-08-06	15	8	46	56	68	3
2022-08-08	58	45	51	57	32	12
2022-08-10	68	59	61	44	29	19
2022-08-13	43	35	24	62	19	2
2022-08-15	20	50	47	63	24	5
2022-08-17	41	23	55	50	28	24
2022-08-20	16	11	9	66	5	7
2022-08-22	12	55	67	27	34	9
2022-08-24	37	35	6	24	44	22
2022-08-27	2	65	60	18	56	14
2022-08-29	69	61	43	13	36	18
2022-08-31	24	19	7	8	28	1
2022-09-03	18	27	65	49	69	9
2022-09-05	4	7	55	32	64	25
2022-09-07	3	33	16	30	36	20
2022-09-10	56	68	38	42	69	4
2022-09-12	66	14	34	6	16	25
2022-09-14	20	10	22	52	9	25
2022-09-17	5	25	36	61	51	1
2022-09-19	7	15	67	46	36	7
2022-09-21	33	34	6	54	45	7
2022-09-24	3	21	29	24	9	14
2022-09-26	31	33	13	20	59	20
2022-09-28	10	67	33	24	6	11
2022-10-01	69	22	21	65	8	26
2022-10-03	55	63	2	16	22	22
2022-10-05	26	37	33	62	30	6
2022-10-08	53	60	68	43	13	5
2022-10-10	17	3	22	11	6	11
2022-10-12	59	30	42	14	41	6
2022-10-15	32	62	40	58	37	15
2022-10-17	46	30	36	19	60	25
2022-10-19	27	42	15	8	6	10
2022-10-22	55	25	60	19	48	18
2022-10-24	23	45	54	35	18	16
2022-10-26	46	37	19	56	36	24
2022-10-29	40	19	57	31	46	23
2022-10-31	19	13	39	59	36	13
2022-11-02	22	11	60	2	35	23
2022-11-05	69	53	45	56	28	20
2022-11-07	56	41	33	47	10	10
2022-11-09	14	24	7	30	56	7
2022-11-12	58	57	20	44	16	6
2022-11-14	54	67	19	53	35	21
2022-11-16	53	56	28	34	51	11
2022-11-19	62	63	28	7	64	10
